,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
1,0,0,1,1,3,6,15,37,43,77,209,532,1375,0,2383,8903,23030,60634,161605,434197,1172881,3182223,0,5548591,21787422,0,0,32384142,104044929,299413753,851151984,425067072,936731739,806883396,0,85009363,787952171,392162956,472898941,381208693,505395942,10041981,753575874,798070006,114602278,771272992,67403927,0,673296949,864940833,777421332,0,974782796,773335328,421545910,412170911,950804956,0,140914907,425298536,485112969,47603062,692463772,0,711495757,911237279,821998225,590071657,38195646,602366709,0,0,0,0,0,486113151,886488890,0,373154966,787729964,438889711,645628713,823737393,693463368,127687468,44279764,132731408,427275012,0,382957861,75541423,929272670,44445728,799230309,563895596,558890070,692667346,207367909,611860472,860221334,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,1,1,3,7,17,16,37,94,238,611,0,1374,3975,10418,27240,72334,193306,519683,1404250,0,3155310,9687291,0,0,15076194,44339612,131350506,372210810,61568644,30659474,636284457,0,96266493,145611499,385840367,471672924,640803474,644897398,137162672,659140459,888102326,143026055,666822411,600419197,0,744086489,839929031,814471701,0,759878717,512323546,661232953,156700351,633539890,0,677312720,984755987,683102481,816435103,513405698,0,236086602,910574349,784895757,536036877,913731574,812523918,0,0,0,0,0,567445258,187263105,0,691674179,713086204,87628169,484884700,788167562,396567191,723331643,985967079,783335742,102975855,0,967254551,61891969,180514145,177354450,282143096,282454784,50410120,630691522,621955554,39339102,283883507,
4,0,0,0,0,1,1,3,7,6,14,35,88,224,0,504,1441,3746,9735,25708,68371,183007,492575,0,1107172,3380470,0,0,5273103,15441586,45627251,128972487,367039259,45869504,975106213,0,581585213,345916739,529874201,196148300,601293978,338174820,456707310,755402373,294365102,20967225,3381288,357850393,0,393273142,153304025,742011572,0,141612824,729654086,40521211,805521784,950016135,0,3872365,43257455,204017130,732921694,470281597,0,249590767,160059749,311085403,838735422,260111520,560798276,0,0,0,0,0,270343639,580399777,0,224007049,464726748,40853333,756123100,88174831,509661185,704940902,89925491,473606838,896004934,0,205471123,356816171,883803290,833630839,720248360,663016294,160298305,610559313,816581768,303002078,835433768,
5,0,0,0,0,0,1,1,3,2,5,13,32,81,0,182,516,1328,3426,8993,23790,63372,169830,0,382325,1160917,0,0,1814815,5282652,15564453,43866834,124561975,354216946,5715770,0,227808213,204052829,724319965,561266749,23766138,756928780,641949372,322399879,490872105,829014129,412507822,582273337,0,56786602,161240545,177835435,0,595361719,967981106,424169769,708295948,420871671,0,146077995,585958424,822219334,706735099,987430209,0,716011137,133889706,244307986,728587530,339493874,279068888,0,0,0,0,0,928441100,65173158,0,11703042,692028533,655048125,849903349,201258680,216314882,499547906,243206735,435296105,703329388,0,458176409,59707588,254613307,522716098,838610282,443216469,185599828,408433663,833251080,290177121,499449671,
6,0,0,0,0,0,0,1,1,1,2,5,12,30,0,71,186,478,1218,3170,8316,21993,58571,0,136548,394798,0,0,625400,1787042,5284980,14837413,42031756,119204847,337635869,0,772867001,397851677,920335855,512113907,239140527,362133887,942646202,541430815,725051420,903767779,89848951,111825209,0,986189010,458700249,347549120,0,978697096,247431008,716364627,993572244,685934847,0,864128154,627462482,392713349,749107721,289335544,0,656196366,607034976,807175973,588728895,781415415,580203362,0,0,0,0,0,997718630,521160513,0,921416246,127881151,497902864,885493391,939413440,419721527,326832165,135672821,709853499,599986385,0,994913277,155530888,466273742,515634501,489608851,933593070,447089692,402125201,693502068,609622972,723273934,
7,0,0,0,0,0,0,0,1,0,1,2,5,12,0,26,71,177,444,1141,2964,7773,20551,0,44347,136548,0,0,214063,625400,1821381,5091813,14361159,40613060,114744796,0,244305774,806260829,321802226,542406617,498293852,316290931,70274100,316278073,41182076,923063540,109432206,741333177,0,18527140,90318987,256025351,0,245452782,559970983,404515633,687959934,87794884,0,407922262,189915336,272196687,955079399,125512451,0,191908573,105985643,21063794,339993263,698166312,279867074,0,0,0,0,0,809803158,495427764,0,196158896,291950214,215849791,527400764,760079890,256374085,801084088,769946977,693200636,180793108,0,560711829,356733831,917444887,878797479,854582607,518496988,621790160,603685186,405896348,367514785,815018633,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,0,1,1,3,7,0,15,42,106,269,697,1823,4809,12778,0,27707,85500,0,0,133758,391935,1145420,3211297,9077574,25720037,72791022,0,155755352,513444352,479369139,173789995,813955927,445599425,749406120,554527163,523590997,504916714,825508162,502161167,0,813798686,25366206,933797265,0,903844376,220747793,976664595,685753306,154315279,0,420509964,156711496,234460168,997401644,283867998,0,594374370,782441773,748048561,791361859,776622624,135856651,0,0,0,0,0,589251057,748882057,0,188177031,818803913,320783604,564494455,774986586,23500294,976655252,805438002,245992737,175744277,0,646617144,993251637,457772398,599907615,381972257,44146578,930899574,935819486,638845070,205207262,221417905,
10,0,0,0,0,0,0,0,0,0,0,1,1,3,0,6,17,42,105,269,697,1824,4812,0,10390,31865,0,0,50032,145810,424103,1183788,3334341,9418647,26582396,0,56601535,186360313,536416837,510570877,267518336,60459445,110990904,535839458,346295864,448127560,513041869,70289978,0,456822129,410970748,14355402,0,639620811,58353262,729373756,414967495,535395632,0,912073192,212798397,849565216,870337764,121269532,0,672576887,687945371,727572887,384256350,783197102,635378181,0,0,0,0,0,288633318,362205791,0,514637003,230568836,824602213,409148102,732249364,372639594,406099650,464065106,263175557,330845450,0,205943168,792596002,502539941,832710174,207556355,367265273,194478422,808359776,945058118,106366855,659301142,
